"","Sender","Receiver","Date","Hour","Minute","Duration_seconds","Focal"
"48","Shelby","Adam","2022-03-15",9,36,63,"Shelby"
"49","Pamela","Luis","2022-05-05",7,57,81,"Pamela"
"50","Lahana","Maleeha","2022-06-18",16,27,101,"Lahana"
"51","Andrew","Mufliha","2022-07-31",13,12,194,"Andrew"
"52","Kaci","Saara","2022-01-01",17,4,167,"Saara"
"53","Lohitha","Kendell","2022-11-23",15,14,85,"Lohitha"
"54","Dawnielle","Shelby","2022-05-29",8,36,101,"Shelby"
"55","Yeni","Anastasia","2022-04-04",17,36,26,"Anastasia"
"56","Varun","Abdus Samad","2022-09-21",8,15,167,"Varun"
"57","Kristen","Luis","2022-11-23",10,7,85,"Luis"
"58","Sydni","Charise","2022-02-02",9,59,94,"Charise"
"59","James","Kristen","2022-06-18",13,7,163,"Kristen"
"60","Ashqar","Adyn","2022-06-30",8,13,227,"Adyn"
"61","Deunna","Shelby","2022-11-11",12,20,155,"Shelby"
"62","Nhi","Anjanetta","2022-06-18",9,58,98,"Nhi"
"63","Luis","Isaiah","2022-08-20",15,59,236,"Isaiah"
"64","Tiffany","Kristen","2022-01-13",17,33,77,"Kristen"
"65","Simone","Yushan","2022-05-05",10,16,145,"Simone"
"66","Yushan","Kristen","2022-04-28",16,35,61,"Yushan"
"67","Ye-Ji","Mufliha","2022-01-25",13,2,172,"Mufliha"
"68","Mckayla","Bryanna","2022-04-04",14,10,201,"Mckayla"
"69","Okatomi","Maleeha","2022-06-30",11,53,155,"Okatomi"
"70","Hadiyya","Saara","2022-10-10",11,41,161,"Hadiyya"
"71","Brie","Isaiah","2022-03-27",11,54,169,"Isaiah"
"72","Yeni","Charise","2022-07-07",10,51,145,"Yeni"
"73","Mikaela","Charise","2022-08-20",17,20,214,"Mikaela"
"74","Andrew","Brie","2022-06-06",8,53,79,"Andrew"
"75","Okatomi","Simone","2022-06-18",12,34,159,"Simone"
"76","Okatomi","Anastasia","2022-07-31",9,3,185,"Okatomi"
"77","James","Adam","2022-07-07",7,6,155,"Adam"
"78","Lohitha","Okatomi","2022-06-30",11,59,175,"Okatomi"
"79","Saara","Lohitha","2022-01-01",17,19,76,"Saara"
"80","Jennell","Simone","2022-05-29",17,24,181,"Jennell"
"81","Shelby","Ye-Ji","2022-08-20",16,40,219,"Shelby"
"82","Lohitha","Brie","2022-02-02",17,34,224,"Lohitha"
"83","Makayla","Grace","2022-10-10",16,41,211,"Makayla"
"84","Adam","Adyn","2022-07-31",14,32,70,"Adam"
"85","Lahana","Adyn","2022-07-07",8,34,121,"Adyn"
"86","Tahleela","Mikaela","2022-11-11",10,45,77,"Tahleela"
"87","Bryanna","Mufliha","2022-02-26",8,2,90,"Mufliha"
"88","Yushan","Luis","2022-04-04",13,12,169,"Yushan"
"89","Dawnielle","Anjanetta","2022-06-30",15,15,209,"Dawnielle"
"90","Anastasia","Trevor","2022-04-04",17,24,225,"Anastasia"
"91","Trevor","Mufliha","2022-07-07",17,7,87,"Mufliha"
"92","Kendell","Okatomi","2022-01-13",9,2,111,"Okatomi"
"93","Grace","Ye-Ji","2022-04-16",15,58,65,"Grace"
"94","Deunna","Anastasia","2022-04-04",10,32,24,"Anastasia"
"95","Makayla","Adyn","2022-04-28",14,44,44,"Adyn"
"96","Anastasia","Luis","2022-07-07",16,18,57,"Anastasia"
"97","Grace","Erick","2022-06-18",8,15,101,"Grace"
"98","Ye-Ji","Trevon","2022-03-27",8,58,192,"Trevon"
"99","Abdul Ghani","Luis","2022-03-15",14,3,151,"Abdul Ghani"
"100","Kiana","Brie","2022-10-10",7,35,232,"Kiana"
"101","Bryanna","Jennell","2022-04-28",17,3,122,"Jennell"
"102","Nhi","Lahana","2022-11-23",17,0,134,"Nhi"
"103","Ashqar","Kristen","2022-04-16",11,9,133,"Kristen"
"104","Okatomi","Mufliha","2022-01-13",9,12,182,"Okatomi"
"105","Dawnielle","Anjanetta","2022-06-30",15,55,102,"Dawnielle"
"106","Okatomi","Lahana","2022-09-21",10,57,44,"Okatomi"
"107","Erick","Kristen","2022-06-18",13,37,126,"Kristen"
"108","Shelby","Nawwaara","2022-11-11",12,57,179,"Shelby"
"109","Kiana","Deunna","2022-07-07",12,1,174,"Kiana"
"110","Adyn","Anjanetta","2022-04-28",14,9,105,"Adyn"
"111","Kiana","Najeeba","2022-07-07",12,58,154,"Kiana"
"112","Simone","Nawwaara","2022-02-26",10,4,110,"Simone"
"113","Amelia","Anastasia","2022-05-05",17,15,57,"Anastasia"
"114","Yushan","Pamela","2022-03-03",10,17,88,"Yushan"
"115","Lahana","Mufliha","2022-01-25",13,2,107,"Mufliha"
"116","Jennell","Makayla","2022-06-18",17,47,124,"Jennell"
"117","Adyn","Adam","2022-06-30",17,34,34,"Adam"
"118","Sydni","Joel","2022-04-04",15,15,198,"Joel"
"119","Tiffany","Lahana","2022-03-15",17,54,230,"Lahana"
"120","Grace","Ye-Ji","2022-04-28",7,40,101,"Grace"
"121","Nawwaara","Anjanetta","2022-01-01",9,59,218,"Anjanetta"
"122","Bryanna","Pamela","2022-04-04",12,13,138,"Pamela"
"123","Amelia","Brie","2022-04-16",7,41,95,"Brie"
"124","Grace","Ye-Ji","2022-07-19",12,1,205,"Ye-Ji"
"125","Hadiyya","Kiana","2022-11-23",11,16,175,"Kiana"
"126","Afnaan","Adyn","2022-02-02",12,42,159,"Afnaan"
"127","Lahana","Luis","2022-06-06",14,31,38,"Luis"
"128","Burton","Luis","2022-11-23",10,57,184,"Luis"
"129","Anjanetta","Andrew","2022-07-31",13,20,111,"Andrew"
"130","Makayla","Ye-Ji","2022-07-19",12,37,206,"Ye-Ji"
"131","Kiana","Nhi","2022-06-18",9,53,112,"Nhi"
"132","Deonte","Luis","2022-09-09",7,40,199,"Deonte"
"133","Shelby","Brie","2022-03-15",9,37,73,"Shelby"
"134","Pamela","Luis","2022-11-23",10,49,106,"Luis"
"135","Varun","Burton","2022-05-05",8,0,77,"Burton"
"136","Mufliha","Kendell","2022-02-26",8,5,139,"Mufliha"
"137","Najeeba","Mufliha","2022-02-26",8,19,54,"Mufliha"
"138","Abdus Samad","Adyn","2022-01-01",12,13,140,"Abdus Samad"
"139","Amelia","Anjanetta","2022-12-12",10,21,83,"Anjanetta"
"140","Hishaam","Anjanetta","2022-05-29",14,32,195,"Anjanetta"
"141","Ashqar","Kendell","2022-05-29",12,10,173,"Ashqar"
"142","Anastasia","Luis","2022-05-05",17,39,163,"Anastasia"
"143","Hishaam","Mikaela","2022-04-16",12,6,137,"Mikaela"
"144","Nawwaara","Adyn","2022-04-04",9,55,129,"Nawwaara"
"145","Okatomi","Makayla","2022-10-22",11,31,196,"Makayla"
"146","Anastasia","Trevon","2022-03-27",8,22,155,"Trevon"
"147","Mikaela","Anastasia","2022-08-08",11,51,146,"Anastasia"
"148","Simone","Anjanetta","2022-08-08",16,37,229,"Simone"
"149","Mufliha","Barcley","2022-01-25",14,33,118,"Barcley"
"150","Tahleela","Simone","2022-11-11",10,7,234,"Tahleela"
"151","Pamela","Lahana","2022-05-05",7,9,55,"Pamela"
"152","Trevor","Mufliha","2022-07-07",17,4,186,"Mufliha"
"153","Hishaam","Adyn","2022-06-30",8,52,178,"Adyn"
"154","Adam","Ye-Ji","2022-12-12",15,16,39,"Adam"
"155","Bryanna","Luis","2022-11-23",12,19,80,"Luis"
"156","Tahleela","Mckayla","2022-12-24",10,30,153,"Mckayla"
"157","Ye-Ji","Lohitha","2022-02-14",16,48,146,"Ye-Ji"
"158","Lohitha","Charise","2022-02-02",17,11,70,"Lohitha"
"159","Charise","Okatomi","2022-10-22",13,55,130,"Okatomi"
"160","Anastasia","Mufliha","2022-01-13",13,47,22,"Anastasia"
"161","Isaiah","Anjanetta","2022-05-29",14,27,110,"Anjanetta"
"162","Nawwaara","Ye-Ji","2022-02-14",13,18,204,"Ye-Ji"
"163","Anastasia","Kurtis","2022-12-24",8,40,189,"Kurtis"
"164","Deunna","Amelia","2022-01-13",7,6,64,"Deunna"
"165","Bryanna","Pamela","2022-01-25",17,21,216,"Bryanna"
"166","Kiana","Tiffany","2022-06-18",14,21,185,"Kiana"
"167","Tiffany","Adyn","2022-07-07",8,17,79,"Adyn"
"168","Yushan","Adyn","2022-07-07",8,29,163,"Adyn"
"169","Trevon","Kristen","2022-09-21",11,47,173,"Kristen"
"170","Mikaela","Adam","2022-12-12",15,9,24,"Adam"
"171","Hadiyya","Kendell","2022-10-10",11,32,132,"Hadiyya"
"172","Simone","Jennell","2022-06-30",7,19,213,"Jennell"
"173","Mckayla","Ye-Ji","2022-10-22",7,41,96,"Mckayla"
"174","Okatomi","Anastasia","2022-08-08",11,0,200,"Anastasia"
"175","Maleeha","Mufliha","2022-07-07",17,6,73,"Mufliha"
"176","Lohitha","Ye-Ji","2022-02-14",13,13,197,"Ye-Ji"
"177","Joel","Anjanetta","2022-03-15",10,31,53,"Joel"
"178","Shelby","Adyn","2022-08-20",16,8,104,"Shelby"
"179","Luis","Adyn","2022-10-22",10,34,143,"Luis"
"180","Mufliha","Adam","2022-12-12",15,29,211,"Adam"
"181","Kendell","Adyn","2022-06-30",8,11,213,"Adyn"
"182","Dawnielle","Brie","2022-04-16",7,45,29,"Brie"
"183","Hadiyya","Lahana","2022-04-28",15,17,147,"Lahana"
"184","Ye-Ji","Kristen","2022-01-13",17,59,43,"Kristen"
"185","Kristen","Mufliha","2022-07-07",17,44,179,"Mufliha"
"186","Mckayla","Anastasia","2022-07-07",16,7,174,"Anastasia"
"187","Maleeha","Brie","2022-05-17",7,11,195,"Maleeha"
"188","Grace","Anastasia","2022-07-31",15,2,142,"Anastasia"
"189","Kiana","Shelby","2022-03-15",9,43,152,"Shelby"
"190","Anjanetta","Ye-Ji","2022-09-21",15,12,44,"Ye-Ji"
"191","Nhi","Okatomi","2022-01-13",9,41,41,"Okatomi"
"192","Jennell","Simone","2022-06-30",12,41,115,"Jennell"
"193","Kurtis","Adyn","2022-07-19",15,55,201,"Adyn"
"194","Okatomi","Mikaela","2022-04-16",12,3,234,"Mikaela"
"195","Abdul Ghani","Luis","2022-03-15",14,33,110,"Abdul Ghani"
"196","Joel","Adyn","2022-10-10",8,37,64,"Joel"
"197","Maleeha","Adyn","2022-05-17",7,4,240,"Maleeha"
"198","Joel","Adyn","2022-06-30",8,1,144,"Adyn"
"199","Kristen","Adyn","2022-06-30",8,3,111,"Adyn"
"200","Jennell","Yushan","2022-06-30",12,7,230,"Jennell"
"201","Saara","Jennell","2022-06-30",7,28,53,"Jennell"
"202","Shelby","Pamela","2022-03-15",9,25,123,"Shelby"
"203","Grace","Mufliha","2022-04-16",15,9,162,"Grace"
"204","Sydni","Simone","2022-10-22",14,22,209,"Sydni"
"205","Erick","Adyn","2022-07-07",8,8,69,"Adyn"
"206","Afnaan","Luis","2022-06-06",17,52,149,"Afnaan"
"207","Nhi","Lahana","2022-04-28",15,36,179,"Lahana"
"208","Luis","Kristen","2022-06-18",13,17,65,"Kristen"
"209","Isaiah","Timothy","2022-08-20",15,1,222,"Isaiah"
"210","Kelia","Varun","2022-08-20",10,59,137,"Varun"
"211","Pamela","Andrew","2022-01-25",9,55,200,"Andrew"
"212","James","Kristen","2022-06-18",13,26,88,"Kristen"
"213","Erick","Ye-Ji","2022-07-19",12,34,147,"Ye-Ji"
"214","Jennell","Luis","2022-11-23",12,30,31,"Luis"
"215","Kiana","Hadiyya","2022-02-02",16,36,74,"Kiana"
"216","Lahana","Adyn","2022-07-19",15,59,126,"Adyn"
"217","Pamela","Grace","2022-04-28",8,14,49,"Grace"
"218","Kurtis","Lahana","2022-02-26",11,34,228,"Lahana"
"219","Yushan","Charise","2022-07-19",9,11,237,"Yushan"
"220","Pamela","Nawwaara","2022-04-04",9,38,190,"Nawwaara"
"221","Tiffany","Adam","2022-01-13",14,6,228,"Adam"
"222","Grace","Lahana","2022-04-28",7,14,204,"Grace"
"223","Yeni","Jennell","2022-06-18",17,30,109,"Jennell"
"224","Afnaan","Brie","2022-04-16",7,34,41,"Brie"
"225","Saara","Kiana","2022-02-02",8,56,134,"Kiana"
"226","Barcley","Ye-Ji","2022-07-19",12,1,152,"Ye-Ji"
"227","Barcley","Anjanetta","2022-01-25",14,8,43,"Barcley"
"228","Kiana","Jennell","2022-07-07",12,11,196,"Kiana"
"229","Hadiyya","Deunna","2022-10-10",11,26,91,"Hadiyya"
"230","Hadiyya","Mufliha","2022-10-10",11,57,185,"Hadiyya"
"231","Saara","Mufliha","2022-01-01",17,21,82,"Saara"
"232","Ye-Ji","Mufliha","2022-07-19",12,1,63,"Ye-Ji"
"233","Grace","Adyn","2022-05-29",15,40,60,"Grace"
"234","Kurtis","Lahana","2022-10-22",15,56,82,"Kurtis"
"235","Lohitha","Charise","2022-06-30",9,51,150,"Charise"
"236","Kelia","Anjanetta","2022-01-01",9,52,75,"Anjanetta"
"237","Tiffany","Lohitha","2022-01-01",14,53,100,"Tiffany"
"238","Grace","Erick","2022-03-15",7,18,221,"Grace"
"239","Anastasia","Luis","2022-07-31",15,3,152,"Anastasia"
"240","Tiffany","Luis","2022-06-06",14,14,150,"Luis"
"241","Erick","Mufliha","2022-01-25",13,3,62,"Mufliha"
"242","Okatomi","Kendell","2022-07-31",9,52,212,"Okatomi"
"243","Makayla","Adyn","2022-10-10",16,33,76,"Makayla"
"244","Pamela","Brie","2022-05-05",7,53,182,"Pamela"
"245","Nawwaara","Lohitha","2022-04-04",9,41,114,"Nawwaara"
"246","Sydni","Lahana","2022-04-28",15,43,80,"Lahana"
"247","Najeeba","Bryanna","2022-09-21",14,23,60,"Najeeba"
"248","Najeeba","Mikaela","2022-08-20",12,41,23,"Najeeba"
"249","Jennell","Ye-Ji","2022-02-14",13,43,85,"Ye-Ji"
"250","Mckayla","Grace","2022-09-09",15,25,129,"Mckayla"
"251","Deunna","Lahana","2022-03-15",17,35,108,"Lahana"
"252","Adam","Adyn","2022-06-30",8,1,222,"Adyn"
"253","Jennell","Luis","2022-10-22",10,17,132,"Luis"
"254","Adam","Luis","2022-11-23",10,19,42,"Luis"
"255","Simone","Kelia","2022-01-25",12,24,64,"Kelia"
"256","Adam","Brie","2022-12-12",15,49,58,"Adam"
"257","Maleeha","Anjanetta","2022-01-01",9,2,193,"Anjanetta"
"258","Kristen","Lahana","2022-06-18",13,34,71,"Kristen"
"259","Nhi","Tiffany","2022-11-23",17,5,34,"Nhi"
"260","Isaiah","Kristen","2022-05-29",7,54,164,"Isaiah"
"261","Lahana","Mufliha","2022-06-18",16,9,40,"Lahana"
"262","Brie","Kristen","2022-06-18",13,17,60,"Kristen"
"263","Charise","Adyn","2022-02-02",9,26,205,"Charise"
"264","Mckayla","Kristen","2022-01-13",17,2,231,"Kristen"
"265","Anjanetta","Maleeha","2022-05-17",7,33,116,"Maleeha"
"266","Makayla","Abdus Samad","2022-10-10",16,54,90,"Makayla"
"267","Abdul Ghani","Luis","2022-10-10",15,42,196,"Abdul Ghani"
"268","Brie","Andrew","2022-01-25",9,25,187,"Andrew"
"269","Brie","Burton","2022-05-05",8,49,182,"Burton"
"270","Okatomi","Mikaela","2022-01-13",9,13,148,"Okatomi"
"271","Hishaam","Kendell","2022-05-17",12,43,212,"Hishaam"
"272","Afnaan","Adyn","2022-07-19",15,51,217,"Adyn"
"273","Simone","Jennell","2022-02-26",10,28,134,"Simone"
"274","Anastasia","Andrew","2022-04-04",17,36,57,"Anastasia"
"275","Lahana","Varun","2022-04-28",15,29,209,"Lahana"
"276","Amelia","Yushan","2022-01-01",13,42,65,"Amelia"
"277","Deunna","Jennell","2022-10-10",9,21,164,"Jennell"
"278","Ye-Ji","Tre","2022-02-14",13,54,148,"Ye-Ji"
"279","Kurtis","Anjanetta","2022-12-12",10,8,238,"Anjanetta"
"280","Lahana","Maleeha","2022-03-15",17,46,172,"Lahana"
"281","Yeni","Lahana","2022-06-06",15,54,166,"Lahana"
"282","Mckayla","Grace","2022-03-15",7,49,199,"Grace"
"283","Ye-Ji","Anjanetta","2022-01-25",7,49,81,"Ye-Ji"
"284","Makayla","Isaiah","2022-06-18",15,52,26,"Makayla"
"285","Joel","Ye-Ji","2022-10-10",8,36,175,"Joel"
"286","Grace","Maleeha","2022-04-16",15,9,200,"Grace"
"287","Simone","Grace","2022-06-18",12,32,111,"Simone"
"288","Anjanetta","Abdul Ghani","2022-05-29",14,33,129,"Anjanetta"
"289","Barcley","Kristen","2022-09-21",11,57,221,"Kristen"
"290","Grace","Kendell","2022-06-18",8,42,170,"Grace"
"291","Isaiah","Kristen","2022-06-18",13,54,230,"Kristen"
"292","Okatomi","Nawwaara","2022-04-04",9,59,23,"Nawwaara"
"293","Kiana","Lohitha","2022-02-02",17,0,179,"Lohitha"
"294","Mckayla","Amelia","2022-05-05",13,44,76,"Mckayla"
"295","Timothy","Adyn","2022-01-01",8,26,20,"Timothy"
"296","James","Kristen","2022-04-16",14,59,96,"James"
"297","Mikaela","Connor","2022-06-30",10,48,134,"Connor"
"298","Sydni","Kristen","2022-04-16",11,34,50,"Kristen"
"299","Erick","Luis","2022-08-08",8,53,53,"Erick"
"300","Yushan","Lohitha","2022-09-21",12,46,234,"Yushan"
"301","Mckayla","Mikaela","2022-11-11",8,36,57,"Mikaela"
"302","Yushan","Lahana","2022-06-18",16,15,107,"Lahana"
"303","Burton","Ye-Ji","2022-08-20",7,19,57,"Burton"
"304","Deonte","Kristen","2022-01-13",17,7,232,"Kristen"
"305","Charise","Anjanetta","2022-05-29",14,6,67,"Anjanetta"
"306","Andrew","Kristen","2022-07-31",13,16,168,"Andrew"
"307","Okatomi","Lohitha","2022-02-02",17,30,160,"Lohitha"
"308","Varun","Kristen","2022-06-18",13,45,136,"Kristen"
"309","Dawnielle","Abdul Ghani","2022-03-03",11,26,231,"Dawnielle"
"310","Shelby","Charise","2022-08-20",13,33,148,"Charise"
"311","Okatomi","Maleeha","2022-10-22",13,40,233,"Okatomi"
"312","Anjanetta","Mufliha","2022-05-29",14,39,58,"Anjanetta"
"313","Nhi","Mufliha","2022-06-18",9,55,147,"Nhi"
"314","Anastasia","Lohitha","2022-01-13",13,5,169,"Anastasia"
"315","Mckayla","Pamela","2022-12-24",7,20,94,"Mckayla"
"316","Kiana","Pamela","2022-07-07",12,20,79,"Kiana"
"317","Varun","Abdus Samad","2022-08-20",10,54,116,"Varun"
"318","Adyn","Isaiah","2022-06-30",8,55,32,"Adyn"
"319","Burton","Kristen","2022-05-05",8,53,240,"Burton"
"320","Connor","Kristen","2022-03-03",9,48,169,"Connor"
"321","Abdul Ghani","Mufliha","2022-10-10",15,34,76,"Abdul Ghani"
"322","Kristen","Adyn","2022-09-21",11,29,158,"Kristen"
"323","Nawwaara","Pamela","2022-04-04",12,15,45,"Pamela"
"324","Saara","Jennell","2022-04-28",17,25,52,"Jennell"
"325","Adam","Anjanetta","2022-07-31",14,40,134,"Adam"
"326","Bryanna","Tiffany","2022-11-23",14,30,81,"Tiffany"
"327","Okatomi","Lahana","2022-06-18",16,21,184,"Lahana"
"328","Mckayla","Yushan","2022-11-23",7,7,21,"Mckayla"
"329","Amelia","Adyn","2022-07-07",8,50,216,"Adyn"
"330","Adam","Adyn","2022-07-19",15,0,147,"Adyn"
"331","Makayla","Barcley","2022-10-22",11,48,96,"Makayla"
"332","Ye-Ji","Barcley","2022-03-03",7,37,165,"Barcley"
"333","Dawnielle","Lahana","2022-05-29",11,18,154,"Lahana"
"334","Hadiyya","Anjanetta","2022-12-12",10,23,157,"Anjanetta"
"335","Nawwaara","Luis","2022-11-23",12,4,223,"Luis"
"336","Kristen","Lahana","2022-04-16",11,23,135,"Kristen"
"337","Lohitha","Ye-Ji","2022-11-23",15,21,167,"Lohitha"
"338","Anastasia","Brie","2022-07-07",16,19,155,"Anastasia"
"339","Ashqar","Adyn","2022-08-08",9,36,88,"Ashqar"
"340","Mckayla","Kristen","2022-12-24",10,55,190,"Mckayla"
"341","Adyn","Brie","2022-06-30",8,28,118,"Adyn"
"342","Mufliha","Lahana","2022-05-29",11,36,198,"Lahana"
"343","Makayla","Yeni","2022-03-03",8,57,135,"Makayla"
"344","Grace","Anastasia","2022-05-05",17,8,231,"Anastasia"
"345","Deunna","Sydni","2022-01-13",7,9,213,"Deunna"
"346","Nawwaara","Lahana","2022-04-04",9,54,117,"Nawwaara"
"347","Mufliha","Maleeha","2022-02-26",8,9,23,"Mufliha"
"348","Nawwaara","Okatomi","2022-07-31",9,39,128,"Okatomi"
"349","Dawnielle","Najeeba","2022-05-05",15,24,191,"Dawnielle"
"350","Hishaam","Ye-Ji","2022-09-21",15,25,150,"Ye-Ji"
"351","Joel","Adyn","2022-06-30",8,42,179,"Adyn"
"352","Kaci","Nhi","2022-02-02",7,57,75,"Kaci"
"353","Tiffany","Anjanetta","2022-01-01",9,18,24,"Anjanetta"
"354","Mufliha","Yushan","2022-04-04",13,14,76,"Yushan"
"355","Kiana","Kaci","2022-02-02",8,40,78,"Kiana"
"356","Ye-Ji","Abdus Samad","2022-02-14",16,43,146,"Ye-Ji"
"357","Dawnielle","Okatomi","2022-03-03",11,7,129,"Dawnielle"
"358","Jennell","Makayla","2022-04-28",17,4,87,"Jennell"
"359","Ye-Ji","Kristen","2022-04-16",11,20,36,"Kristen"
"360","Burton","Kristen","2022-06-18",13,47,201,"Kristen"
"361","Mikaela","Adyn","2022-07-19",15,56,165,"Adyn"
"362","Mufliha","Ye-Ji","2022-07-07",17,4,127,"Mufliha"
"363","Kelia","Erick","2022-01-25",12,13,118,"Kelia"
"364","Connor","Luis","2022-02-26",13,50,93,"Connor"
"365","Kelia","Ye-Ji","2022-09-21",15,50,83,"Ye-Ji"
"366","Mckayla","Bryanna","2022-05-05",13,37,118,"Mckayla"
"367","Connor","Kristen","2022-07-07",14,28,65,"Connor"
"368","Connor","Kristen","2022-07-07",14,54,207,"Connor"
"369","Pamela","Mikaela","2022-04-16",12,3,234,"Mikaela"
"370","Yushan","Andrew","2022-07-19",9,17,132,"Yushan"
"371","Nhi","Brie","2022-01-01",15,28,62,"Nhi"
"372","Deunna","Jennell","2022-06-18",17,18,222,"Jennell"
"373","Varun","Tre","2022-09-21",8,41,162,"Varun"
"374","Jennell","Ye-Ji","2022-01-25",7,48,92,"Ye-Ji"
"375","Dawnielle","Brie","2022-03-03",11,14,105,"Dawnielle"
"376","Isaiah","Kristen","2022-01-13",17,51,66,"Kristen"
"377","Mckayla","Jennell","2022-10-22",7,20,237,"Mckayla"
"378","Mikaela","Barcley","2022-01-25",14,32,113,"Barcley"
"379","Shelby","Kendell","2022-08-20",16,10,90,"Shelby"
"380","Ye-Ji","Luis","2022-02-14",16,13,56,"Ye-Ji"
"381","Kendell","Kristen","2022-06-18",13,7,231,"Kristen"
"382","Erick","Kristen","2022-12-12",14,3,139,"Erick"
"383","Ye-Ji","Abdus Samad","2022-02-14",13,18,100,"Ye-Ji"
"384","Adam","Mufliha","2022-03-15",8,1,119,"Adam"
"385","Nhi","Pamela","2022-02-02",15,18,102,"Nhi"
"386","Lahana","Adyn","2022-05-29",11,23,31,"Lahana"
"387","Afnaan","Kristen","2022-06-06",17,45,74,"Afnaan"
"388","Burton","Kristen","2022-01-13",17,36,141,"Kristen"
"389","Mckayla","Anastasia","2022-11-23",7,46,31,"Mckayla"
"390","Bryanna","Anjanetta","2022-12-12",10,44,126,"Anjanetta"
"391","Hadiyya","Joel","2022-03-03",12,42,156,"Hadiyya"
"392","Brie","Kristen","2022-06-18",13,24,36,"Kristen"
"393","Makayla","Andrew","2022-03-03",8,51,30,"Makayla"
"394","Yushan","Maleeha","2022-03-03",10,39,238,"Yushan"
"395","Abdus Samad","Luis","2022-10-22",10,6,47,"Luis"
"396","Ashqar","Lohitha","2022-07-07",13,35,210,"Ashqar"
"397","Tre","Luis","2022-07-19",16,45,60,"Tre"
"398","Okatomi","Luis","2022-06-30",11,30,152,"Okatomi"
"399","Varun","Hishaam","2022-05-17",12,36,69,"Hishaam"
"400","Luis","Barcley","2022-11-23",10,0,23,"Luis"
"401","Mckayla","Kiana","2022-04-16",17,6,108,"Kiana"
"402","Pamela","Timothy","2022-05-05",7,28,54,"Pamela"
"403","Deunna","Makayla","2022-03-03",8,49,217,"Makayla"
"404","Deunna","Brie","2022-02-14",10,59,26,"Deunna"
"405","Yeni","Yushan","2022-07-19",9,33,163,"Yushan"
"406","Najeeba","Kristen","2022-09-21",14,23,237,"Najeeba"
"407","Charise","Adam","2022-07-31",8,34,34,"Charise"
