"","Sender","Receiver","Date","Hour","Minute","Focal"
"159","Isaiah","Simone","2022-01-24",12,34,"Isaiah"
"160","Isaiah","Yushan","2022-01-24",12,54,"Isaiah"
"161","Deonte","Brie","2022-01-24",13,43,"Deonte"
"162","Abdus Samad","Deonte","2022-01-24",13,57,"Deonte"
"163","Erick","Nhi","2022-01-24",14,33,"Erick"
"164","Ye-Ji","Pamela","2022-01-25",7,3,"Ye-Ji"
"165","Isaiah","Ye-Ji","2022-01-25",7,22,"Ye-Ji"
"166","Kelia","Simone","2022-01-25",12,21,"Kelia"
"167","Luis","Kelia","2022-01-25",12,22,"Kelia"
"168","Kelia","Dawnielle","2022-01-25",12,56,"Kelia"
"170","Kurtis","Ashqar","2022-01-25",16,24,"Kurtis"
"171","Kurtis","Anjanetta","2022-01-25",16,32,"Kurtis"
"172","Sydni","Deunna","2022-01-26",7,23,"Deunna"
"173","Dawnielle","Deunna","2022-01-26",7,32,"Deunna"
"174","Makayla","Deunna","2022-01-26",7,46,"Deunna"
"175","Lahana","Kendell","2022-01-26",9,34,"Kendell"
"176","Abdus Samad","Kendell","2022-01-26",9,47,"Kendell"
"177","James","Jennell","2022-01-26",13,5,"James"
"178","Najeeba","Saara","2022-01-26",15,13,"Saara"
"179","Saara","Kaci","2022-01-26",15,24,"Saara"
"180","Amelia","Saara","2022-01-26",15,33,"Saara"
"181","Sydni","Hadiyya","2022-01-26",16,46,"Hadiyya"
"182","Makayla","Simone","2022-01-26",17,3,"Simone"
"183","Connor","Kelia","2022-01-27",7,7,"Connor"
"184","Connor","Brie","2022-01-27",7,26,"Connor"
"185","Simone","Connor","2022-01-27",7,46,"Connor"
"186","Andrew","Barcley","2022-01-27",8,19,"Andrew"
"187","Trevor","Kelia","2022-01-27",9,11,"Kelia"
"188","Kelia","Grace","2022-01-27",9,43,"Kelia"
"189","Kurtis","Shelby","2022-01-27",10,48,"Shelby"
"190","Deunna","Tiffany","2022-01-27",12,27,"Deunna"
"191","Maleeha","Anjanetta","2022-01-27",14,7,"Maleeha"
"192","Kendell","Nawwaara","2022-01-27",15,4,"Nawwaara"
"193","Nawwaara","Mckayla","2022-01-27",15,14,"Nawwaara"
"194","Okatomi","Nawwaara","2022-01-27",15,42,"Nawwaara"
"195","Afnaan","Anjanetta","2022-01-28",9,22,"Anjanetta"
"196","Pamela","Hadiyya","2022-01-28",10,7,"Pamela"
"197","Pamela","Nhi","2022-01-28",10,9,"Pamela"
"198","Joel","Pamela","2022-01-28",10,53,"Pamela"
"199","Kurtis","Kelia","2022-01-28",13,22,"Kurtis"
"201","Hishaam","Barcley","2022-01-28",15,59,"Hishaam"
"202","Erick","Luis","2022-01-28",16,48,"Erick"
"203","Erick","Bryanna","2022-01-28",16,59,"Erick"
"204","Ashqar","Pamela","2022-01-28",17,2,"Ashqar"
"205","Joel","Lohitha","2022-01-29",8,40,"Joel"
"206","Erick","Tre","2022-01-29",9,30,"Tre"
"207","Amelia","Tiffany","2022-01-29",10,3,"Tiffany"
"208","Hadiyya","Tiffany","2022-01-29",10,24,"Tiffany"
"209","Anjanetta","Jennell","2022-01-29",11,49,"Jennell"
"210","Erick","Kaci","2022-01-30",8,7,"Erick"
"211","Simone","Deunna","2022-01-30",10,11,"Deunna"
"212","Shelby","Deunna","2022-01-30",10,14,"Deunna"
"213","Charise","Deunna","2022-01-30",10,38,"Deunna"
"214","Jennell","Shelby","2022-01-30",12,6,"Shelby"
"215","Jennell","Shelby","2022-01-30",12,12,"Shelby"
"216","Adyn","Andrew","2022-01-30",13,51,"Andrew"
"217","Mikaela","Okatomi","2022-01-30",14,6,"Okatomi"
"218","Okatomi","Grace","2022-01-30",14,24,"Okatomi"
"219","Trevon","Okatomi","2022-01-30",14,39,"Okatomi"
"220","Lahana","Okatomi","2022-01-30",14,44,"Okatomi"
"221","Timothy","Jennell","2022-01-30",16,24,"Jennell"
"222","Jennell","Sydni","2022-01-30",16,33,"Jennell"
"223","Abdul Ghani","Jennell","2022-01-30",16,41,"Jennell"
"224","Jennell","Deunna","2022-01-30",16,51,"Jennell"
"225","Adam","Brie","2022-01-31",10,43,"Brie"
"226","Pamela","Mckayla","2022-01-31",12,0,"Pamela"
"227","Trevon","Deonte","2022-01-31",13,31,"Trevon"
"228","Trevon","Mikaela","2022-01-31",13,49,"Trevon"
"229","Adam","James","2022-01-31",14,46,"James"
"230","Mckayla","Nhi","2022-01-31",17,43,"Nhi"
"232","Kiana","Kaci","2022-02-02",8,53,"Kiana"
"233","Timothy","Trevor","2022-02-02",10,29,"Trevor"
"234","Andrew","Ashqar","2022-02-02",14,40,"Ashqar"
"235","Bryanna","Nhi","2022-02-02",15,25,"Nhi"
"236","Mufliha","Kiana","2022-02-02",16,31,"Kiana"
"237","Hadiyya","Kiana","2022-02-02",16,36,"Kiana"
"238","Trevon","Lohitha","2022-02-02",17,1,"Lohitha"
"239","Lohitha","Sydni","2022-02-02",17,56,"Lohitha"
"240","Abdul Ghani","Lohitha","2022-02-02",17,57,"Lohitha"
"241","Lohitha","Nhi","2022-02-02",17,58,"Lohitha"
"242","Okatomi","Tiffany","2022-02-03",7,5,"Tiffany"
"246","Ashqar","Abdus Samad","2022-02-03",13,35,"Abdus Samad"
"247","Barcley","Abdul Ghani","2022-02-03",14,11,"Abdul Ghani"
"248","Abdul Ghani","Kristen","2022-02-03",14,45,"Abdul Ghani"
"250","Barcley","Adyn","2022-02-03",15,43,"Adyn"
"251","Trevor","Grace","2022-02-03",16,31,"Trevor"
"252","Hishaam","Okatomi","2022-02-04",7,34,"Okatomi"
"253","Mikaela","Amelia","2022-02-04",11,9,"Amelia"
"254","Grace","Pamela","2022-02-05",7,1,"Pamela"
"255","Pamela","Simone","2022-02-05",7,46,"Pamela"
"256","Hishaam","Maleeha","2022-02-05",9,21,"Maleeha"
"257","Connor","Maleeha","2022-02-05",9,48,"Maleeha"
"258","Joel","Makayla","2022-02-05",10,54,"Joel"
"259","Kelia","Najeeba","2022-02-05",12,18,"Najeeba"
"260","Shelby","Najeeba","2022-02-05",12,57,"Najeeba"
"261","Nawwaara","Kelia","2022-02-05",14,2,"Kelia"
"262","Isaiah","Kelia","2022-02-05",14,6,"Kelia"
"263","Kelia","Yeni","2022-02-05",14,24,"Kelia"
"264","Trevor","Deunna","2022-02-05",16,23,"Trevor"
"265","Simone","Deunna","2022-02-06",9,10,"Simone"
"266","Adyn","Brie","2022-02-06",13,52,"Adyn"
"267","Varun","Dawnielle","2022-02-06",14,53,"Dawnielle"
"268","Barcley","Afnaan","2022-02-06",16,10,"Afnaan"
"269","Isaiah","Afnaan","2022-02-06",16,35,"Afnaan"
"270","Afnaan","Mufliha","2022-02-06",16,49,"Afnaan"
"271","Shelby","Tiffany","2022-02-07",8,14,"Shelby"
"272","Nhi","Shelby","2022-02-07",8,31,"Shelby"
"273","Erick","Trevor","2022-02-07",9,40,"Erick"
"275","Trevor","Ashqar","2022-02-07",12,53,"Trevor"
"276","Abdul Ghani","Trevor","2022-02-07",12,59,"Trevor"
"277","Barcley","Adyn","2022-02-07",13,44,"Barcley"
"278","Nawwaara","Sydni","2022-02-07",15,44,"Sydni"
"279","Mckayla","Dawnielle","2022-02-07",16,4,"Dawnielle"
"281","Brie","Grace","2022-02-08",7,58,"Grace"
"282","Kristen","Lahana","2022-02-08",15,8,"Kristen"
"283","Trevor","Mikaela","2022-02-08",16,36,"Trevor"
"284","Tre","Trevor","2022-02-08",16,56,"Trevor"
"285","Deonte","Lohitha","2022-02-08",17,10,"Lohitha"
"286","Lohitha","Pamela","2022-02-09",10,27,"Pamela"
"287","Hishaam","Pamela","2022-02-09",10,43,"Pamela"
"288","Saara","Kaci","2022-02-09",11,12,"Kaci"
"289","Abdul Ghani","Adyn","2022-02-09",12,35,"Abdul Ghani"
"290","Mikaela","Bryanna","2022-02-09",15,43,"Bryanna"
"291","Brie","Najeeba","2022-02-09",16,15,"Brie"
"292","Connor","Brie","2022-02-09",16,22,"Brie"
"293","Isaiah","Brie","2022-02-09",16,27,"Brie"
"294","Simone","Nhi","2022-02-10",8,21,"Nhi"
"295","Mufliha","Anastasia","2022-02-10",9,12,"Mufliha"
"296","Mufliha","Mikaela","2022-02-10",9,14,"Mufliha"
"297","Mufliha","Mckayla","2022-02-10",9,15,"Mufliha"
"298","Nawwaara","Mckayla","2022-02-10",10,8,"Nawwaara"
"299","Erick","James","2022-02-10",13,34,"James"
"300","Kaci","Saara","2022-02-10",14,8,"Saara"
"301","Simone","Bryanna","2022-02-10",15,13,"Simone"
"302","Afnaan","Pamela","2022-02-10",16,6,"Pamela"
"303","Pamela","Yeni","2022-02-10",16,25,"Pamela"
"304","Mufliha","Kendell","2022-02-11",8,12,"Kendell"
"305","Varun","Trevor","2022-02-11",12,37,"Varun"
"306","Adam","Joel","2022-02-11",13,46,"Joel"
"307","Luis","Maleeha","2022-02-11",14,27,"Maleeha"
"308","Connor","Ye-Ji","2022-02-11",16,4,"Connor"
"309","Erick","Connor","2022-02-11",16,29,"Connor"
"310","Trevon","Deonte","2022-02-12",8,15,"Trevon"
"311","Bryanna","Sydni","2022-02-12",11,41,"Sydni"
"312","Jennell","Kiana","2022-02-12",13,2,"Kiana"
"313","Brie","Simone","2022-02-12",16,28,"Brie"
"314","Sydni","Najeeba","2022-02-13",7,20,"Najeeba"
"315","Adam","Isaiah","2022-02-13",8,10,"Adam"
"316","Adam","Deonte","2022-02-13",8,50,"Adam"
"317","Lohitha","Pamela","2022-02-13",10,21,"Pamela"
"318","Yeni","Hadiyya","2022-02-13",11,16,"Yeni"
"319","Yeni","Mckayla","2022-02-13",11,50,"Yeni"
"320","Shelby","Deunna","2022-02-13",16,23,"Shelby"
"321","Najeeba","Deunna","2022-02-14",10,5,"Deunna"
"322","Bryanna","Shelby","2022-02-14",11,31,"Bryanna"
"323","Kurtis","Ye-Ji","2022-02-14",13,1,"Ye-Ji"
"324","Lohitha","Grace","2022-02-14",15,30,"Lohitha"
"325","Brie","Lohitha","2022-02-14",15,39,"Lohitha"
"326","Ye-Ji","Anastasia","2022-02-14",16,29,"Ye-Ji"
"327","Isaiah","Lohitha","2022-02-15",12,27,"Lohitha"
"328","Lohitha","Okatomi","2022-02-15",12,45,"Lohitha"
"329","Yushan","Anastasia","2022-02-15",13,54,"Yushan"
"330","Kendell","Makayla","2022-02-15",14,1,"Makayla"
"331","Makayla","Saara","2022-02-15",14,2,"Makayla"
"332","Makayla","Hadiyya","2022-02-15",14,28,"Makayla"
"333","Charise","Makayla","2022-02-15",14,34,"Makayla"
"334","Nawwaara","Pamela","2022-02-15",15,40,"Nawwaara"
"335","Mikaela","Makayla","2022-02-15",16,57,"Mikaela"
"336","Makayla","Jennell","2022-02-16",7,7,"Makayla"
"337","Isaiah","Kristen","2022-02-16",9,49,"Kristen"
"338","Adyn","Mikaela","2022-02-16",11,41,"Adyn"
"339","Mufliha","Charise","2022-02-17",9,29,"Mufliha"
"340","Timothy","Mikaela","2022-02-17",12,31,"Mikaela"
"341","Ye-Ji","Makayla","2022-02-17",17,19,"Makayla"
"342","Mufliha","Makayla","2022-02-17",17,27,"Makayla"
"343","Kiana","Kaci","2022-02-18",9,16,"Kiana"
"345","Andrew","Maleeha","2022-02-18",12,22,"Andrew"
"346","Andrew","Shelby","2022-02-18",12,54,"Andrew"
"347","Trevon","Varun","2022-02-18",15,16,"Varun"
"348","Timothy","Varun","2022-02-18",15,22,"Varun"
"349","Varun","Deunna","2022-02-18",15,49,"Varun"
"350","Lohitha","Grace","2022-02-18",16,1,"Lohitha"
"351","Lohitha","Yushan","2022-02-18",16,34,"Lohitha"
"352","Hadiyya","Tiffany","2022-02-18",17,13,"Hadiyya"
"353","Abdus Samad","James","2022-02-19",7,2,"Abdus Samad"
"354","Yushan","Grace","2022-02-19",9,55,"Yushan"
"355","Anjanetta","Yeni","2022-02-19",10,17,"Anjanetta"
"356","Andrew","Ashqar","2022-02-20",8,13,"Ashqar"
"357","Varun","Ashqar","2022-02-20",8,59,"Ashqar"
"358","Deonte","Simone","2022-02-20",11,30,"Deonte"
"359","Deonte","Kendell","2022-02-20",11,40,"Deonte"
"360","Charise","Pamela","2022-02-20",14,4,"Pamela"
"361","Barcley","Pamela","2022-02-20",14,27,"Pamela"
"362","Dawnielle","Tiffany","2022-02-20",15,32,"Tiffany"
"363","Saara","Kaci","2022-02-20",17,34,"Kaci"
"365","Yushan","Dawnielle","2022-02-21",7,35,"Dawnielle"
"366","Yeni","Dawnielle","2022-02-21",7,57,"Dawnielle"
"367","Kendell","Najeeba","2022-02-21",8,54,"Najeeba"
"368","Andrew","Adam","2022-02-21",14,9,"Adam"
"369","Adam","Connor","2022-02-21",16,17,"Connor"
"370","Mckayla","Bryanna","2022-02-21",17,37,"Bryanna"
"371","Luis","Mikaela","2022-02-22",8,39,"Luis"
"372","Kiana","Kaci","2022-02-22",9,4,"Kaci"
"373","Bryanna","Kaci","2022-02-22",9,39,"Kaci"
"374","Anjanetta","Simone","2022-02-22",12,8,"Simone"
"375","Pamela","Simone","2022-02-22",12,32,"Simone"
"376","Abdus Samad","Hishaam","2022-02-22",17,24,"Abdus Samad"
"377","Varun","Trevor","2022-02-23",8,25,"Trevor"
"378","Trevor","Brie","2022-02-23",8,32,"Trevor"
"379","Ye-Ji","Kiana","2022-02-23",14,18,"Ye-Ji"
"380","Ye-Ji","Nhi","2022-02-23",14,39,"Ye-Ji"
"381","Adam","Andrew","2022-02-23",17,15,"Adam"
"382","Okatomi","Amelia","2022-02-24",17,4,"Amelia"
"383","Sydni","Amelia","2022-02-24",17,23,"Amelia"
"384","Varun","Lohitha","2022-02-25",7,17,"Varun"
"385","Lohitha","Yeni","2022-02-25",10,52,"Yeni"
"386","Grace","Bryanna","2022-02-25",12,39,"Grace"
"387","Charise","Grace","2022-02-25",12,44,"Grace"
"388","Afnaan","Kelia","2022-02-25",13,16,"Afnaan"
"389","Afnaan","Maleeha","2022-02-25",13,25,"Afnaan"
"390","Varun","Kurtis","2022-02-25",14,31,"Varun"
"391","Burton","Dawnielle","2022-02-25",15,16,"Dawnielle"
"392","Barcley","Mufliha","2022-02-26",8,34,"Mufliha"
"393","Mufliha","Mckayla","2022-02-26",8,43,"Mufliha"
"394","Mufliha","Okatomi","2022-02-26",8,48,"Mufliha"
"395","Timothy","Grace","2022-02-26",16,52,"Timothy"
"396","Sydni","Najeeba","2022-02-27",10,2,"Sydni"
"397","Grace","Sydni","2022-02-27",10,25,"Sydni"
"398","Connor","Anjanetta","2022-02-27",11,12,"Anjanetta"
"399","Kristen","Adyn","2022-02-27",13,3,"Kristen"
"400","Kristen","Luis","2022-02-27",13,19,"Kristen"
"401","Kristen","Luis","2022-02-27",13,27,"Kristen"
"402","Deonte","Lohitha","2022-02-27",15,59,"Lohitha"
"403","Kendell","Yeni","2022-02-28",8,21,"Kendell"
"404","Kendell","Jennell","2022-02-28",8,48,"Kendell"
"405","Sydni","Dawnielle","2022-02-28",11,33,"Sydni"
"406","Yeni","Sydni","2022-02-28",11,53,"Sydni"
"407","Burton","Kelia","2022-02-28",13,3,"Burton"
"408","Burton","Kiana","2022-02-28",13,41,"Burton"
"409","Kurtis","Nhi","2022-02-28",15,25,"Nhi"
"410","Connor","Charise","2022-03-01",8,16,"Connor"
"411","Connor","Maleeha","2022-03-01",8,30,"Connor"
"412","Abdus Samad","Adyn","2022-03-01",11,13,"Adyn"
"413","Adyn","Yushan","2022-03-01",11,25,"Adyn"
"414","Erick","Kendell","2022-03-01",14,15,"Erick"
"415","Adam","Nawwaara","2022-03-01",15,33,"Nawwaara"
"416","Nawwaara","Grace","2022-03-01",15,41,"Nawwaara"
"417","Kristen","Nawwaara","2022-03-01",15,49,"Nawwaara"
"419","Mckayla","Najeeba","2022-03-02",8,17,"Mckayla"
"420","Mckayla","Sydni","2022-03-02",8,30,"Mckayla"
"421","Ashqar","Najeeba","2022-03-02",9,30,"Ashqar"
"423","Mckayla","Najeeba","2022-03-02",13,48,"Mckayla"
"424","Makayla","Amelia","2022-03-02",14,37,"Amelia"
"425","Bryanna","Amelia","2022-03-02",14,38,"Amelia"
"426","Ashqar","Maleeha","2022-03-02",15,39,"Maleeha"
"427","Deonte","Maleeha","2022-03-02",15,43,"Maleeha"
"428","Maleeha","Yeni","2022-03-02",15,55,"Maleeha"
"429","Ashqar","Luis","2022-03-02",16,35,"Ashqar"
"430","Nhi","Hadiyya","2022-03-02",17,26,"Hadiyya"
"431","Hadiyya","Kiana","2022-03-02",17,30,"Hadiyya"
"434","Hadiyya","Tiffany","2022-03-02",17,59,"Hadiyya"
"435","Isaiah","Barcley","2022-03-03",7,39,"Barcley"
"436","Nawwaara","Makayla","2022-03-03",8,7,"Makayla"
"437","Barcley","Makayla","2022-03-03",8,20,"Makayla"
"438","Yushan","Grace","2022-03-03",10,33,"Yushan"
"439","Sydni","Dawnielle","2022-03-03",11,45,"Dawnielle"
"440","Hadiyya","Saara","2022-03-03",12,11,"Hadiyya"
"442","Sydni","Hadiyya","2022-03-03",12,25,"Hadiyya"
"443","James","Nawwaara","2022-03-04",7,9,"James"
"444","Ye-Ji","Simone","2022-03-04",9,29,"Ye-Ji"
"445","Barcley","Ye-Ji","2022-03-04",9,30,"Ye-Ji"
"446","Ye-Ji","Lahana","2022-03-04",9,38,"Ye-Ji"
"447","Hadiyya","Kiana","2022-03-04",10,11,"Kiana"
"448","Shelby","Kiana","2022-03-04",10,28,"Kiana"
"450","Andrew","Adam","2022-03-04",13,12,"Adam"
"451","Adam","Simone","2022-03-04",13,41,"Adam"
"452","Simone","Deunna","2022-03-04",17,11,"Deunna"
"453","Sydni","Deunna","2022-03-04",17,16,"Deunna"
"454","Lohitha","Mckayla","2022-03-05",9,11,"Lohitha"
"455","Varun","Lohitha","2022-03-05",9,22,"Lohitha"
"456","Barcley","Lohitha","2022-03-05",9,54,"Lohitha"
"458","Brie","Dawnielle","2022-03-05",10,25,"Brie"
"459","Tre","Nhi","2022-03-05",11,33,"Nhi"
"460","Yushan","Nhi","2022-03-05",11,58,"Nhi"
"461","Timothy","Brie","2022-03-05",13,28,"Brie"
"462","Andrew","Connor","2022-03-05",14,45,"Andrew"
"463","Lahana","Kristen","2022-03-05",15,52,"Lahana"
